corridor_id,segment_count,total_length_m,mean_betweenness,max_betweenness,mean_confidence,min_confidence,dominant_status,dominant_highway,criticality_score,osm_segment_count
1,621,32376.43039811082,0.04787287735273358,0.0912601228085788,0.7287776416948953,0.1413407564163208,OPEN,primary,0.36514243228315807,214
2,44,3389.872906859213,0.04369568639586211,0.0527239625048203,0.7105367726736397,0.465792328119278,LIKELY_OPEN,trunk,0.24734291477960835,10
3,42,2665.9938767226495,0.035699727445188824,0.0523671798522737,0.6920043745217358,0.538781138093848,LIKELY_OPEN,primary,0.17118390422141214,17
4,21,1482.704864173217,0.04814094876478069,0.0540610631544599,0.6407593487712566,0.5524814902146657,LIKELY_OPEN,primary,0.16245612683464242,5
5,33,1002.8777069993583,0.05115325858028531,0.0605486339770401,0.74285042835765,0.6056547494790026,OPEN,secondary,0.12879965178364203,3
6,33,1659.1356942164193,0.03225744811288101,0.0376960784313725,0.5852683878141212,0.3876140827602811,LIKELY_OPEN,primary,0.12135133684583785,14
7,46,1446.5455000214722,0.038686811039616756,0.0502603007920263,0.8895510093548439,0.5568866340319316,OPEN,primary,0.1051029347747486,28
8,13,1322.1550599474529,0.03568932646956137,0.0411901901456497,0.7336533388001715,0.7336533388001715,OPEN,primary,0.10494993590563176,1
9,19,794.2574273940014,0.035826936077400895,0.0391393017116074,0.6853174740166901,0.6120711823304494,LIKELY_OPEN,secondary,0.08451140309567884,4
10,13,981.7419234443158,0.03359478645409049,0.0347270178873364,0.7447350354735479,0.2449021763378574,OPEN,secondary,0.08357076722060235,6
11,13,412.6422791112215,0.03676588102947448,0.0389624306606152,0.4264117547702513,0.218687504529953,UNCERTAIN,tertiary,0.08172751244323065,7
12,14,323.8988118268533,0.03739595384295922,0.0377817329655008,0.6263609590923814,0.57042973800139,LIKELY_OPEN,primary,0.06800675194502506,4
13,2,57.29078368545461,0.035730955771113196,0.039361632701492,0.2418207570910454,0.2236423879861832,LIKELY_BLOCKED,primary,0.06642051342315407,2
14,4,303.5491980591682,0.0360914464121503,0.0360948948414464,0.6530410755764354,0.6530410755764354,LIKELY_OPEN,tertiary,0.06337034422718593,1
15,2,110.90706743652645,0.04494056094449875,0.0456638782593218,0.7736514105246617,0.7736514105246617,OPEN,primary,0.061225191832555426,1
16,3,18.098244164081727,0.040812988836482635,0.0408166473851265,0.5321566275706507,0.4707756443671238,LIKELY_OPEN,tertiary,0.06099128804629493,3
17,11,271.09521777212626,0.035457565779715775,0.0429020201121295,0.6635459339864812,0.443102343966884,OPEN,secondary,0.060233907637068325,5
18,12,364.6556149195536,0.030727958480416834,0.031994971967607,0.634706586925524,0.4349269544056484,UNCERTAIN,primary,0.05725095938204656,5
19,8,213.88207684364016,0.033299664797840425,0.0420057992939989,0.6552327416766257,0.5364692765758151,OPEN,primary,0.054358002270808066,4
20,1,11.561059915951756,0.031476817655958,0.031476817655958,0.3497883807671697,0.3497883807671697,UNCERTAIN,tertiary,0.05254393111026988,1
21,1,12.733646049144516,0.033663418468749,0.033663418468749,0.5639096885871887,0.5639096885871887,LIKELY_OPEN,primary,0.048959300792540614,1
22,5,117.65528158084867,0.03131989558304406,0.0337682803832576,0.6172691031297047,0.5788775624434153,LIKELY_OPEN,secondary,0.048402283095735334,3
23,1,7.185695443855861,0.0322822669158434,0.0322822669158434,0.5644286186878498,0.5644286186878498,LIKELY_OPEN,secondary,0.04667650877434801,1
24,3,169.66257496476476,0.030682517081466933,0.0306892409005962,0.7010468350022525,0.7010468350022525,OPEN,primary,0.04661708050119562,1
25,2,29.42853281158102,0.0337686511821067,0.0337686511821067,0.7449457003672917,0.7207546619574229,OPEN,primary,0.043628715953245016,2
26,8,229.5394634052954,0.030506381448191938,0.0308901397170063,0.8605321566224569,0.8121695743907581,OPEN,trunk,0.04274007130266722,3
27,4,64.05102245863397,0.030710098335854724,0.0307239476728664,0.7143279587745667,0.7143279587745667,OPEN,secondary,0.04201204868736074,1
28,2,19.50156734383406,0.0398360698288392,0.0398709620005339,0.9750732421874999,0.9732330203056335,OPEN,secondary,0.04162528443775684,2
29,5,131.3024813782936,0.0303513689893506,0.0303719112455874,0.812982508991704,0.8129825089917039,OPEN,secondary,0.04075811991478422,1
30,2,115.10147688458154,0.030349922873839398,0.0303517397881997,0.8129825089917039,0.8129825089917039,OPEN,secondary,0.04017252236674081,1
31,2,91.23417759517483,0.0303474385215508,0.0303559668950787,0.8293741687933603,0.8293741687933603,OPEN,primary,0.03876663480480307,1
32,1,5.223986775316698,0.0353137699860579,0.0353137699860579,0.9156807184219361,0.9156807184219361,OPEN,primary,0.03849143547719015,1
33,1,13.965737713336187,0.0305395864851235,0.0305395864851235,0.770397110382716,0.770397110382716,OPEN,secondary,0.03807599908043912,1
34,4,87.93748225975455,0.031218630417371124,0.0312268250719349,0.9072888319767438,0.8697900603367732,OPEN,primary,0.03711275270060397,3
35,1,7.542739238603227,0.0311945655720684,0.0311945655720684,0.8819763100147248,0.8819763100147248,OPEN,primary,0.03513932586812345,1
36,1,9.510081698427438,0.0313949452700898,0.0313949452700898,0.9149343192577363,0.9149343192577363,OPEN,secondary,0.03438954408801972,1
37,1,13.606306671319123,0.0309256622467443,0.0309256622467443,0.906637591123581,0.906637591123581,OPEN,primary,0.034273026026757,1
38,1,4.6154945521978314,0.0315075939604283,0.0315075939604283,0.9798534870147705,0.9798534870147705,OPEN,primary,0.03229071500850481,1
