node_id,x,y,degree,degree_centrality,betweenness_centrality,node_type
66528,787265.989774,1437182.808968,4,2.9663907923229807e-05,0.16126022373603252,intersection
51882,786661.92712,1436942.529753,3,2.2247930942422355e-05,0.16051157772010274,endpoint
106652,786459.706974,1436866.903578,3,2.2247930942422355e-05,0.15067360969246396,intersection
37073,787993.483814,1437530.091463,3,2.2247930942422355e-05,0.14573474232223982,endpoint
6700,788248.726075,1437662.278883,4,2.9663907923229807e-05,0.14505687220511157,intersection
66527,788111.759167,1437589.821411,3,2.2247930942422355e-05,0.1449893245138459,intersection
46482,787052.377517,1437099.43179,3,2.2247930942422355e-05,0.1429967915656449,endpoint
106710,787262.740217,1437193.591076,4,2.9663907923229807e-05,0.14299344892488997,intersection
84345,786840.04127,1437016.446167,4,2.9663907923229807e-05,0.14293970784646445,endpoint
73003,788919.870322,1438009.224408,3,2.2247930942422355e-05,0.14203603450908317,endpoint
56023,788309.630239,1437705.923629,3,2.2247930942422355e-05,0.14202435795983512,endpoint
72998,788537.530094,1437820.802421,3,2.2247930942422355e-05,0.14201862721512404,intersection
6701,788243.647047,1437671.480907,3,2.2247930942422355e-05,0.1420176662947074,endpoint
56024,788596.849691,1437851.866264,3,2.2247930942422355e-05,0.14201032557932738,endpoint
56025,788581.614866,1437877.147396,3,2.2247930942422355e-05,0.1419850438802375,intersection
73002,788789.185847,1437949.825489,3,2.2247930942422355e-05,0.1419842350866748,intersection
72996,788264.122135,1437682.909039,3,2.2247930942422355e-05,0.14198412111006067,intersection
56026,788771.538734,1437970.110608,4,2.9663907923229807e-05,0.14198267075000465,endpoint
72997,788288.876067,1437695.234274,3,2.2247930942422355e-05,0.14197477690976848,intersection
102227,789105.365623,1438096.774743,3,2.2247930942422355e-05,0.14190191557934517,endpoint
50280,780836.721224,1435005.545132,3,2.2247930942422355e-05,0.13259978038813122,intersection
9569,780642.485972,1434741.959182,4,2.9663907923229807e-05,0.13197448969865908,endpoint
1356,780856.658841,1435046.805911,2,1.4831953961614903e-05,0.13190319217802773,endpoint
1357,780964.332902,1435439.510031,2,1.4831953961614903e-05,0.13190274721610906,endpoint
108379,780994.733173,1435678.775271,3,2.2247930942422355e-05,0.13190263215455536,intersection
15386,780552.120461,1434635.281159,3,2.2247930942422355e-05,0.1318599993580802,endpoint
85537,780479.174031,1434561.292396,4,2.9663907923229807e-05,0.13178032305435158,intersection
9450,780473.868229,1434557.762694,4,2.9663907923229807e-05,0.13175696523853322,endpoint
