corridor_id,scenario,corridor_segments,corridor_length_m,corridor_betweenness,corridor_confidence,criticality_score,affected_edges,baseline_components,scenario_components,baseline_largest_component,scenario_largest_component,baseline_connectivity_ratio,scenario_connectivity_ratio,largest_component_loss,connectivity_loss,isolated_nodes
1,REMOVE,621,32376.43039811082,0.04787287735273358,0.7287776416948953,0.36514243228315807,1323,124,870,134845,133756,0.9961732526613624,0.9881282181984737,0.00807593904112125,0.00807593904112125,697
5,REMOVE,33,1002.8777069993583,0.05115325858028531,0.74285042835765,0.12879965178364203,87,124,173,134845,134773,0.9961732526613624,0.9956413495563781,0.0005339463828840652,0.0005339463828839541,47
4,REMOVE,21,1482.704864173217,0.04814094876478069,0.6407593487712566,0.16245612683464242,99,124,175,134845,134778,0.9961732526613624,0.9956782872720019,0.0004968667729615683,0.0004968667729615683,47
3,REMOVE,42,2665.9938767226495,0.035699727445188824,0.6920043745217358,0.17118390422141214,45,124,153,134845,134790,0.9961732526613624,0.9957669377894993,0.000407875709147576,0.00040787570914746496,26
6,REMOVE,33,1659.1356942164193,0.03225744811288101,0.5852683878141212,0.12135133684583785,93,124,171,134845,134798,0.9961732526613624,0.9958260381344977,0.0003485483332715811,0.00034854833327147006,47
2,REMOVE,44,3389.872906859213,0.04369568639586211,0.7105367726736397,0.24734291477960835,72,124,164,134845,134800,0.9961732526613624,0.9958408132207471,0.00033371648930258235,0.00033371648930247133,37
10,REMOVE,13,981.7419234443158,0.03359478645409049,0.7447350354735479,0.08357076722060235,28,124,140,134845,134819,0.9961732526613624,0.9959811765401181,0.00019281397159698344,0.00019281397159698344,14
8,REMOVE,13,1322.1550599474529,0.03568932646956137,0.7336533388001715,0.10494993590563176,27,124,136,134845,134833,0.9961732526613624,0.996084602143865,8.899106381399235e-05,8.899106381399235e-05,12
9,REMOVE,19,794.2574273940014,0.035826936077400895,0.6853174740166901,0.08451140309567884,19,124,133,134845,134836,0.9961732526613624,0.9961067647732393,6.674329786049427e-05,6.674329786049427e-05,9
7,REMOVE,46,1446.5455000214722,0.038686811039616756,0.8895510093548439,0.1051029347747486,9,124,127,134845,134842,0.9961732526613624,0.9961510900319881,2.224776595349809e-05,2.2247765953387066e-05,3
2,BLOCKED,44,3389.872906859213,0.04369568639586211,0.7105367726736397,0.24734291477960835,0,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0
10,CAPACITY,13,981.7419234443158,0.03359478645409049,0.7447350354735479,0.08357076722060235,28,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0
9,BLOCKED,19,794.2574273940014,0.035826936077400895,0.6853174740166901,0.08451140309567884,0,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0
9,CAPACITY,19,794.2574273940014,0.035826936077400895,0.6853174740166901,0.08451140309567884,19,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0
8,BLOCKED,13,1322.1550599474529,0.03568932646956137,0.7336533388001715,0.10494993590563176,0,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0
8,CAPACITY,13,1322.1550599474529,0.03568932646956137,0.7336533388001715,0.10494993590563176,27,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0
7,BLOCKED,46,1446.5455000214722,0.038686811039616756,0.8895510093548439,0.1051029347747486,0,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0
7,CAPACITY,46,1446.5455000214722,0.038686811039616756,0.8895510093548439,0.1051029347747486,9,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0
6,BLOCKED,33,1659.1356942164193,0.03225744811288101,0.5852683878141212,0.12135133684583785,0,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0
2,CAPACITY,44,3389.872906859213,0.04369568639586211,0.7105367726736397,0.24734291477960835,72,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0
6,CAPACITY,33,1659.1356942164193,0.03225744811288101,0.5852683878141212,0.12135133684583785,93,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0
1,CAPACITY,621,32376.43039811082,0.04787287735273358,0.7287776416948953,0.36514243228315807,1323,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0
5,BLOCKED,33,1002.8777069993583,0.05115325858028531,0.74285042835765,0.12879965178364203,0,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0
5,CAPACITY,33,1002.8777069993583,0.05115325858028531,0.74285042835765,0.12879965178364203,87,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0
1,BLOCKED,621,32376.43039811082,0.04787287735273358,0.7287776416948953,0.36514243228315807,0,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0
4,BLOCKED,21,1482.704864173217,0.04814094876478069,0.6407593487712566,0.16245612683464242,0,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0
4,CAPACITY,21,1482.704864173217,0.04814094876478069,0.6407593487712566,0.16245612683464242,99,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0
3,BLOCKED,42,2665.9938767226495,0.035699727445188824,0.6920043745217358,0.17118390422141214,0,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0
3,CAPACITY,42,2665.9938767226495,0.035699727445188824,0.6920043745217358,0.17118390422141214,45,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0
10,BLOCKED,13,981.7419234443158,0.03359478645409049,0.7447350354735479,0.08357076722060235,0,124,124,134845,134845,0.9961732526613624,0.9961732526613624,0.0,0.0,0
